Station ID,Neighborhood,City,Station Type,lat,lon,height,zipcode
ILIMBURG42,Dorpskern ,Posterholt ,1-Wire / Oregon Scientific Hardware ,51.124,6.04,30.0,6061 CM
ILIMBURG36,Reuver Limburg ,Reuver ,Davis Vantage Vue (Wireless) ,51.292,6.082,23.0,5953 AT
ILIMBURG32,Montfort - Nieuwe Heide ,Roerdalen ,Oregon Scientific WMRS200 ,51.129,5.937,30.0,6065 CN
ILIMBURG29,Hoogvonderen ,Roermond ,Personal ,51.19,6.019,15.0,6043 WH
ILIMBURG56,Watersportschool Frissen ,Roermond ,Vantage Vue ,51.193,5.948,14.0,6041 TR
ILIMBURG47, ,Schinnen ,Davis Vantage ,50.942,5.888,71.0,6365 CP
ILIMBURG70,Schinveld ,Schinveld ,Alecto WS-4000 ,50.967,5.982,64.0,6451 EW
ILIMBURG24,Kerkrade ,Terwinselen ,VantagePro II ,50.867,6.025,150.0,6467 EG
ILIMBURG72,Venlo-Blerick ,Venlo-Blerick ,Alecto WS 5000 eco ,51.378,6.144,20.0,unknown
INOORDHO63,Zaanstad ,Zaandam , ,52.45,4.839,3.0,1503 WK
IMIDDENW2,Nieuwe Vaart ,Sprang-capelle ,Ventus W-831 ,51.676,4.98,0.0,5161 AM
INBRSON2,Son en Breugel ,Son en Breugel ,Davis Vantage Pro2 ,51.518,5.486,12.0,5691 GP
IN.BRSTH1,Weerstation ,Sint Hubert ,WMR 928 ,51.672,5.807,10.0,5454 GW
INORTHBR4, ,Drimmelen ,Davis Vantage Vue ,51.71,4.813,9.0,4924 BB
INBROOSE2,Stad ,Roosendaal ,Davis Vantage Pro2 ,51.54,4.476,6.0,4702 NH
IDELFT1,Delft ,Zuid Holland ,Davis Vantage Pro2 Plus ,51.98,4.342,-1.0,2622 JX
INHAMSTE6,Amstelveen - North ,Amstelveen ,WM918 ,52.313,4.869,-3.0,1181 KH
INOORD-H9,Dunes ,Wijk Aan Zee ,WS2310 ,52.506,4.576,4.0,1949 EC
INBBREDA2,Brabantpark Breda oost ,Breda ,Davis Vantage VUE ,51.589,4.8,0.0,4817 JJ
INOORDBR39,cuijk ,Cuijk ,wmr200 ,51.736,5.86,10.0,5432 ES
INBEERSE2,Eersel ,Eersel ,Davis Vantage Pro2 Plus (Wireless) ,51.355,5.321,29.0,5521 KG
INOORDBR6,Grave ,Grave ,WMR928n ,51.758,5.74,9.0,5361 HB
INOORDBR46,Het Bad ,Hank ,Davis Vantage Pro ,51.749,4.927,0.0,4273 LL
INOORDBR26, ,Hapert ,Alecto WS-4000 ,51.373,5.264,30.0,5527 AB
INOORDBR67,Helmond - Vossenberg ,Helmond - Vossenberg ,Davis Vantage Vue ,51.481,5.671,18.0,unknown
INOORDBR13, ,Hoogeloon ,Davis Vantage Pro 2 ,51.396,5.294,25.0,5528 NH
INOORDBR70,Oosterhout ,Oosterhout ,other ,51.66,4.86,0.0,4907 DT
INOORDHO17,Lyceum buurt ,Alkmaar ,Davis Vantage Pro2 ,52.626,4.747,0.0,1814 BR
INOORDHO94,Amsterdam Nieuwmarkt ,Amsterdam ,Columbia Orion ,52.373,4.9,9.0,1012 CR
INOORDHO117,Saendelft ,Assendelft ,Davis Vantage Pro2 (Wireless) ,52.484,4.765,0.0,1566 HX
INOORDHO84,Schiphol ,Badhoevedorp ,Vantage Pro2 ,52.332,4.781,-3.0,1171 GC
INOORDHO86,Egmondermeer ,Egmond Aan Den Hoef ,Fine Offset WH3080 ,52.626,4.705,0.0,1934 PN
INOORDHO74,Egmond aan Zee ,Egmond Aan Zee ,Davis Vantage Pro2 (Wireless) ,52.615,4.626,14.0,1931 VT
INHDENHE2,Meteo-Julianadorp ,Julianadorp ,Davis Vantage Pro2 ,52.887,4.736,7.0,1788 VC
I90580867,Purmerend Baaienwijk ,Purmerend ,Davis Vantage Vue ,52.489,4.934,-1.0,unknown
INORTHHO3,Venhuizen ,Venhuizen ,Vantage Pro2 ,52.666,5.202,0.0,1606 BL
INOORDHO73,Venhuizen ,Venhuizen ,Davis Vantage Pro2 Plus ,52.666,5.212,0.0,1606 NH
INOORDHO42,Zandvoort ,Zandvoort ,Davis Vantage Pro2 ,52.373,4.533,10.0,2042 VG
INOORDHO50,Zuid Scharwoude ,Zuid Scharwoude ,Davis Vatage PRO2 ,52.697,4.814,6.0,1722 XA
INOORDHO95,Zuidoostbeemster ,Zuidoostbeemster ,Davis VP2 ,52.515,4.942,0.0,1461 AD
INOORDBR51,Asten centrum ,Asten ,Davis Vantage Pro 2 Plus fan ,51.405,5.744,24.0,5721 DZ
INOORDBR138,Saturnusstraat ,Asten ,Davis Vantage Pro2 (Wireless) ,51.411,5.754,24.0,5721 BS
INOORDBR65,Noordgeest ,Bergen Op Zoom ,Davis Vantage Pro 2 ,51.507,4.287,11.0,4614 KM
INOORDBR15,Berghem's Weer Actueel ,Berghem ,Davis Vantage Pro 2 Plus 24 hour fan aspirated. ,51.769,5.574,10.0,5351 NX
INOORDBR139,Breda Kortendonk ,Breda ,Netatmo Weather Station ,51.608,4.744,1.0,4824 CM
INOORDBR56,Noord Brabant ,Budel-Dorplein ,Vantage Pro2 ,51.237,5.577,38.0,6024 AT
INOORDBR75,De Mortel ,De Mortel ,Davis Vantage Pro ,51.54,5.706,17.0,5425 RJ
INOORDBR140,Country side ,Den Dungen ,Netatmo Weather Station ,51.673,5.372,3.0,5275 HT
INOORDBR37, ,Engelen ,Alecto WS4000 (Fine Offset WH1081) ,51.728,5.257,0.0,5221 LC
INOORDBR64,Grauwe Polder ,Etten-Leur ,Davis Vantage Pro2 ,51.558,4.631,7.0,4876 VD
INOORDBR21,Genderen ,Genderen ,Davis Vantage Pro2 ,51.735,5.084,1.0,4265 HS
INOORDBR84,Halsteren ,Halsteren ,Oregon Scientific WMR-200 ,51.528,4.276,2.0,4661 JM
INOORDBR59,heesch ,Heesch ,http://www.weerstation-heesch.nl/ ,51.732,5.53,10.0,5384 DB
INOORDBR48,Mierlo-Hout ,Helmond ,WS-4000 ,51.465,5.642,16.0,5706 RW
INOORDBR63,Helmond - Brandevoort ,Helmond ,Oregon Scientific WMR-200 ,51.459,5.625,17.0,5706 HA
INOORDBR55, ,Liempde ,Davis Vantage Pro 2 plus ,51.573,5.375,10.0,5298 SC
INOORDBR78,Cranendonck ,Maarheeze ,WS2810 ,51.315,5.617,28.0,6026 DK
INOORDBR28,Nuenen ,Nuenen ,Davis Vantage Pro 2 ,51.474,5.564,17.0,5673 RN
INOORDBR54,Oosterhout ,Oosterhout Nb ,TFA Primus ,51.659,4.857,0.0,4907 EG
INOORDBR66,RoosendaalWest ,Roosendaal ,Vantage Pro2 ,51.535,4.442,2.0,4703 NA
INOORDBR129,Kroeven ,Roosendaal ,Netatmo Weather Station ,51.522,4.461,4.0,4707 CA
INOORDBR18,Tilburg Centrum ,Tilburg ,Cresta WXR815LM ,51.553,5.095,14.0,5017 AS
INOORDBR32,Tilburg-Reeshof ,Tilburg ,TFA (La Crosse) WS2800 ,51.579,5.01,6.0,5043 LS
INOORD-B10,Veghel ,Veghel ,Davis Vantage Pro2 Plus (Wireless) ,51.617,5.563,10.0,5464 XG
INOORDBR40,Vught ,Vught , ,51.663,5.293,7.0,5261 XD
INOORDBR34, ,Woudrichem , ,51.769,4.95,0.0,unknown
INOORDHO76,Alkmaar Noord ,Alkmaar ,Davis Vantage Pro2 ,52.671,4.768,2.0,1827 PD
INHALKMA1,Bergermeer ,Alkmaar (West) ,Davis Vantage Vue (Wireless) ,52.643,4.731,0.0,1817 KR
I90578852, ,Alkmaar Watertoorn ,Davis Vantage Pro ,52.637,4.737,3.0,1815 CJ
INOORDHO32,Amsterdam Holendrecht ,Amsterdam ,Nexus ,52.304,4.972,-1.0,unknown
INOORDHO67,Amsterdam DL ,Amsterdam , ,52.352,4.866,7.0,1075 HK
INOORDHO29,Gemeente Velsen ,Driehuis NH ,Oregon Scientific WMR200 UV ,52.447,4.635,6.0,1985 HC
